"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","prolific_id","att_1","att_2","P","H","comfort_1","likely_1","service_1","organism_1","bio_1","conscious_1","soul_1","empathy_1","meaning_1","grow_1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID","condition"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,60,1,"4/21/25 12:23","R_3hnKHxyZYrz0vnM",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"668adbfcb3549e7f656159c6",2,5,NA,1,6,6,6,5,6,6,6,6,6,6,1,"",2,"",26,4,"","668adbfcb3549e7f656159c6","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,68,1,"4/21/25 12:23","R_7G5K6HV3E6oOZ7X",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"63614899ad49a91f1ef09067",2,5,NA,NA,9,5,5,10,10,10,10,10,10,10,1,"",3,"",53,5,"","63614899ad49a91f1ef09067","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,67,1,"4/21/25 12:23","R_1RPNOYCbv7MnWjy",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"63d13cb81a0a88a3ce29e33f",2,5,NA,1,6,6,6,2,2,2,0,2,1,2,1,"",3,"",40,3,"","63d13cb81a0a88a3ce29e33f","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,58,1,"4/21/25 12:23","R_7tyX5YVst7JQElU",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"6636db94fa3ed150c2d78447",2,5,1,NA,4,3,3,3,3,4,2,3,3,4,1,"",3,"",27,3,"","6636db94fa3ed150c2d78447","robot"
"4/21/25 12:21","4/21/25 12:23",0,"Anonymized",100,90,1,"4/21/25 12:23","R_1dKZ44zuIA0l4Jb",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"660dfb0b513cd3c8af03656e",2,5,NA,NA,8,7,7,0,0,5,1,1,6,6,2,"",3,"",43,4,"","660dfb0b513cd3c8af03656e","robot"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,78,1,"4/21/25 12:23","R_5OU7IzrckdYGVcb",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"5c0968ef600aff0001d707eb",2,5,NA,NA,4,2,6,0,2,3,0,2,3,6,2,"",3,"",28,4,"","5c0968ef600aff0001d707eb","robot"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,66,1,"4/21/25 12:23","R_7deHAUUeugJx8d3",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"645906dc264ac9eb66b7f3ec",2,5,NA,NA,1,0,1,0,0,0,0,0,0,0,2,"",3,"",50,3,"","645906dc264ac9eb66b7f3ec","robot"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,72,1,"4/21/25 12:23","R_6P7rlXKvxjjXOWI",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"6669fe44c5660a00d14ab11d",2,5,NA,1,8,3,8,10,10,10,10,9,10,10,1,"",3,"",32,4,"","6669fe44c5660a00d14ab11d","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,71,1,"4/21/25 12:23","R_6Jh0innM408pqpT",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"62e0532289a4e5d9fedadde1",2,5,NA,1,10,7,7,10,10,10,10,10,10,9,1,"",3,"",42,1,"","62e0532289a4e5d9fedadde1","person"
"4/21/25 12:21","4/21/25 12:23",0,"Anonymized",100,94,1,"4/21/25 12:23","R_6LXthJIcS46QBZh",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"646ae503018c43cc5e033ae6",2,5,NA,1,8,8,8,10,10,10,10,10,10,10,1,"",3,"",36,4,"","646ae503018c43cc5e033ae6","person"
"4/21/25 12:21","4/21/25 12:23",0,"Anonymized",100,110,1,"4/21/25 12:23","R_7h0Fr21UcgxpjtS",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"64602202550aa320d8de4330",2,5,NA,NA,7,5,7,0,0,0,0,0,2,8,1,"",3,"",54,4,"","64602202550aa320d8de4330","person"
"4/21/25 12:21","4/21/25 12:23",0,"Anonymized",100,94,1,"4/21/25 12:23","R_532Y9CcDi0hkFzp",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"5591cd21fdf99b63126f6c60",2,5,1,NA,2,0,8,0,0,0,0,0,0,2,1,"",3,"",34,4,"","5591cd21fdf99b63126f6c60","robot"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,75,1,"4/21/25 12:23","R_6XZsX5RWjDswSl3",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"663a8a824533e51954651d7b",2,5,1,NA,8,8,10,0,0,0,0,0,0,0,1,"",2,"",31,5,"","663a8a824533e51954651d7b","robot"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,93,1,"4/21/25 12:23","R_636XteWY32pLgWT",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"6439db560a5e06fd3451c47c",2,5,NA,NA,9,9,10,10,10,10,10,10,10,10,1,"",1,"",43,4,"","6439db560a5e06fd3451c47c","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,92,1,"4/21/25 12:23","R_5JSuiHvY7y9NUK5",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"662d7fba32d6a738b194d893",2,5,NA,1,8,8,7,7,7,8,8,6,8,10,1,"",4,"",29,3,"","662d7fba32d6a738b194d893","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,52,1,"4/21/25 12:23","R_6FaJGMQ4LSYYzpB",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"634868460f7419e22957fb59",2,5,NA,1,4,3,2,1,2,1,3,2,2,3,1,"",3,"",34,3,"","634868460f7419e22957fb59","person"
"4/21/25 12:21","4/21/25 12:23",0,"Anonymized",100,99,1,"4/21/25 12:23","R_3GPeo6J7mWSEaat",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"632dd45fb49858b31338c11c",2,5,NA,NA,8,7,7,8,0,2,0,1,2,9,1,"",3,"",43,4,"","632dd45fb49858b31338c11c","robot"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,65,1,"4/21/25 12:23","R_1mbnmq8Prm8m0WR",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"671e3bfd39d6c9c60589ebec",2,5,NA,NA,6,5,5,2,1,2,1,2,2,1,2,"",3,"",46,3,"","671e3bfd39d6c9c60589ebec","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,93,1,"4/21/25 12:23","R_1jTFxNuHGQ5seSF",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"615586b009f801c3f2d4af8d",2,5,NA,NA,1,1,1,0,0,0,0,1,0,1,1,"",3,"",61,5,"","615586b009f801c3f2d4af8d","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,89,1,"4/21/25 12:23","R_5epH3CeAS5DmyuB",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"62fd42136d0fe24eccb23ec9",2,5,NA,1,5,5,5,10,10,10,10,5,10,10,1,"",3,"",28,4,"","62fd42136d0fe24eccb23ec9","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,81,1,"4/21/25 12:23","R_1EUiY3WkXuFB7xf",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"5a0efb83ab721b0001ef8509",2,5,NA,NA,4,3,5,7,9,9,9,6,8,8,1,"",3,"",70,3,"","5a0efb83ab721b0001ef8509","person"
"4/21/25 12:22","4/21/25 12:23",0,"Anonymized",100,99,1,"4/21/25 12:23","R_5xIP5UCN4iASJAo",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,"660338e4a1acbad65a2955ec",2,5,1,NA,7,7,8,7,8,8,3,2,2,7,2,"",3,"",30,4,"","660338e4a1acbad65a2955ec","robot"
