"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","X","UserLanguage","writing","MC_1","store_1","restaurant_1","companion_1","conseq","conseq_DO_1","conseq_DO_2","job_1","safety_1","distinctiveness_1","engaging_1","convincing_1","knowledgeable_1","age","gender","conscious","FL_31_DO_no","FL_31_DO_yes"
"5/5/22 16:27","5/5/22 16:30",0,"Anonymized",100,184,1,"5/5/22 16:30","R_23dC0h1xlIjTQj1",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","They are likely to be true as what he says about the human mind being able to be explained by the laws of science/nature is true and so we should be able to make robots with conscious minds like ours too.",10,3,2,10,1,1,2,10,10,10,10,8,10,31,1,"robots can one day have consciousness.",NA,1
"5/5/22 16:26","5/5/22 16:30",0,"Anonymized",100,239,1,"5/5/22 16:30","R_TaO5o38yxAXshnr",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","Yes, it's obvious that the mind is something non-material that cannot be reproduced in robots.
Consciousness is not something that can be artificially created. ",0,0,0,0,1,2,1,3,2,6,1,6,5,24,2,"robots will never have consciousness.",1,NA
"5/5/22 16:28","5/5/22 16:30",0,"Anonymized",100,172,1,"5/5/22 16:30","R_Aik09WykV8pjKr7",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","i think a machine can never be like a human because of the lak of a soul. the interpretation of it would never be similar to the real thing and it would only emulate a part of what beeing human means.",2,2,3,3,1,1,2,4,3,4,7,7,9,33,1,"robots will never have consciousness.",1,NA
"5/5/22 16:27","5/5/22 16:31",0,"Anonymized",100,223,1,"5/5/22 16:31","R_3QFZQJj3SQB01Ea",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","because it has been discussed at length between experts in the field. It would also make sense that with the progression of AI that one day it will be implemented in a way that allows it to evolve on it's own and then to make it's own decisions.",6,7,7,7,2,2,1,5,4,4,7,6,7,32,1,"robots can one day have consciousness.",NA,1
"5/5/22 16:27","5/5/22 16:31",0,"Anonymized",100,219,1,"5/5/22 16:31","R_1DSdFnTZE7ApobW",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","I believe that these arguments are true, because every action made by the robot is programmed by the computer. They will never act independently as humans and do anything unexpected - even if they do something surprising, this will be the result of the probability set up by people, who program the data. ",3,4,4,1,1,2,1,6,3,1,6,6,8,31,1,"robots will never have consciousness.",1,NA
"5/5/22 16:26","5/5/22 16:31",0,"Anonymized",100,322,1,"5/5/22 16:31","R_2VaTbFJj2GeYfPU",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","Because robots are programmed, they do not have a free will - even if they „think” they have. They form opinions and ideas based on data they receive, but as humans, we can switch between views on situations based on our emotions. And robots only think like zero-one type. ",4,5,5,2,1,2,1,7,4,0,3,10,8,22,2,"robots will never have consciousness.",1,NA
"5/5/22 16:28","5/5/22 16:32",0,"Anonymized",100,242,1,"5/5/22 16:32","R_2Xn8HEeO8DmQkCW",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","We know everything about a human brain and will be able to recreate that in a future. If robot will say it has consciousness we would have no reason not to believe him.",7,4,4,3,2,2,1,5,3,8,8,7,7,30,1,"robots can one day have consciousness.",NA,1
"5/5/22 16:28","5/5/22 16:32",0,"Anonymized",100,239,1,"5/5/22 16:32","R_3MuLsSn12rlfsyf",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","Any possible robot conscious would in the end still have been had to been programed in some way, pre-determined, lacking in ways that the human mind works",6,3,2,1,1,2,1,8,3,6,2,3,7,24,1,"robots will never have consciousness.",1,NA
"5/5/22 16:27","5/5/22 16:32",0,"Anonymized",100,292,1,"5/5/22 16:32","R_12yWkaq6YfcK6sB",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","I agree with the scientist, robots won't be ever be able to have conciousness the same why humans do, but I'm not sure if it's because something as vague as what he mentions as the ""soul"". Maybe it's his way of describing something that science can't explain yet, but I'm sure in the future we will able to find out what it's that people call ""soul"" and actually be able tu measure and calculate it. ",6,4,5,2,2,2,1,7,5,5,8,7,10,36,2,"robots will never have consciousness.",1,NA
"5/5/22 16:26","5/5/22 16:32",0,"Anonymized",100,339,1,"5/5/22 16:32","R_2YDKBQ1JBnEbjDi",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","","EN","Robots have consciousness like human beings",7,7,7,5,1,1,2,5,5,7,4,4,5,27,1,"robots can one day have consciousness.",NA,1
