"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","P","H","surprise","likely_1","recommend_1","comfort_1","Q106","likely2_1","recommend2_1","comf2_1","easy_1","confident_1","PROLIFIC_PID","Q_URL","condition2","condition","scenarios_DO"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent?","Picture a health and wellness store that sells vitamins, herbal supplements, and products for yoga and meditation, like the one in the picture below. 

 



 

Now imagine that this store started using cutting-edge humanoid robots as employees. These robots would be completely indistinguishable from humans in every way -- this is not possible quite yet, but it will be in the very near future. Not only will they look and move exactly like humans, but they will even be able to pass as human when you have long conversations with them. Everything that human employees can do at work, these robots will be able to do as well. 

 

Imagine that the store uses these robots to assist customers, answer questions, and give advice. Below is a picture of the kind of robot that they would use. 



Please answer the following questions about this kind of robot, keeping in mind that you wouldn't be able to tell it apart from a human.","Picture a health and wellness store that sells vitamins, herbal supplements, and products for yoga and meditation, like the one in the picture below.

 





Now imagine that this store employed the person below to assist customers, answer questions, and give advice. 



Please answer the following questions about this person.","Picture a health and wellness store that sells vitamins, herbal supplements, and products for yoga and meditation, like the one in the picture below.

 





Now imagine that this store employed the person below to assist customers, answer questions, and give advice. 



Please answer the following questions about this person.","How likely would you be to shop in a store where this [Field-condition] is employed? - How likely would you be to shop in a store where this ${e://Field/condition} is employed?","How likely would you be recommend this store to your friends?","How comfortable would you be shopping in a store where this [Field-condition] is employed? - How comfortable would you be shopping in a store where this ${e://Field/condition} is employed?","Now, please imagine that after interacting with this person, you are informed that you have actually been speaking with a cutting-edge humanoid robot. That is, you thought you were talking to a human, but in reality this store employs robots that are completely indistinguishable from humans in every way -- this is not possible quite yet, but it may be in the future. 
Not only would these robots look and move exactly like humans, but they will even be able to pass as human when you have long conversations with them. Everything that human employees can do at work, these robots will be able to do as well.
Please provide your ratings again after learning that you had been interacting with a robot, instead of with a human as you initially believed.","How likely would you be to shop in a store where this robot is employed?","How likely would you be recommend this store to your friends?","How comfortable would you be shopping in a store where this robot is employed?","How easy was it for you to imagine the [Field-condition2] in this scenario? - How easy was it for you to imagine the ${e://Field/condition2} in this scenario?","How confident did you feel in your responses to the questions about the [Field-condition2] in this scenario? - How confident did you feel in your responses to the questions about the ${e://Field/condition2} in this scenario?","PROLIFIC_PID","Q_URL","condition2","condition","scenarios - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1715825633""}","{""ImportId"":""QID34""}","{""ImportId"":""QID112""}","{""ImportId"":""QID153""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID154""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Q_URL""}","{""ImportId"":""condition2""}","{""ImportId"":""condition""}","{""ImportId"":""BL_57oxtwfejBPB47Y_DO""}"
"4/14/23 12:31","4/14/23 12:32","0","Anonymized","100","38","1","4/14/23 12:32","R_1igStAQ63PPYUUU","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","9","9","8","","","","","8","8","5e13ad514c81b2a01ae4aa9f","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5e13ad514c81b2a01ae4aa9f&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399c035b32c6bc57eb669e","person","person","H"
"4/14/23 12:36","4/14/23 12:37","0","Anonymized","100","77","1","4/14/23 12:37","R_30knv1E85sOGa7f","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","8","5","9","","","","","6","10","5b0739faa84dcf0001bef230","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5b0739faa84dcf0001bef230&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399d2e65d865a7349815d0","robot","robot","P"
"4/14/23 12:37","4/14/23 12:39","0","Anonymized","100","79","1","4/14/23 12:39","R_2t3C6EH0cBhAlYb","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","3","2","2","1","4","3","1","7","8","602d3534af703b6fe8b4033d","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=602d3534af703b6fe8b4033d&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399d776fa2495deb2f2915","robot","person","surprise"
"4/14/23 12:43","4/14/23 12:44","0","Anonymized","100","59","1","4/14/23 12:44","R_24zVIGNglSkjupu","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","2","1","1","","","","","8","9","57b560e4a18afd00013e0579","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=57b560e4a18afd00013e0579&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399ecb798a6bd3d6e6d692","robot","robot","P"
"4/14/23 12:43","4/14/23 12:44","0","Anonymized","100","63","1","4/14/23 12:44","R_1BQrKHXzQ94Mp3P","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","9","9","8","","","","","10","8","5e668d33ffed4c410e662f8a","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5e668d33ffed4c410e662f8a&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399ed07349469e355116a4","robot","robot","P"
"4/14/23 12:45","4/14/23 12:45","0","Anonymized","100","36","1","4/14/23 12:45","R_PIecFEpYoDWJM5P","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","7","3","7","","","","","7","7","63f7a84b6e32b3b093b7b241","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=63f7a84b6e32b3b093b7b241&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399f3b7476b1ad4bdf7a62","person","person","H"
"4/14/23 12:46","4/14/23 12:47","0","Anonymized","100","73","1","4/14/23 12:47","R_2Xccq28hqjv7ucA","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","3","1","1","1","0","0","1","6","9","62db005bae68d37fe24b50da","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=62db005bae68d37fe24b50da&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399f7c71e326a52582ceb3","robot","person","surprise"
"4/14/23 12:46","4/14/23 12:48","0","Anonymized","100","100","1","4/14/23 12:48","R_3nvATMU74hxUtoi","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","3","2","1","1","2","0","0","9","8","607cf097a3821b079390ebb5","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=607cf097a3821b079390ebb5&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399f814da6c5c6c4512da9","robot","person","surprise"
"4/14/23 12:46","4/14/23 12:49","0","Anonymized","100","165","1","4/14/23 12:49","R_2SwzOBIF5hCcJLm","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","9","6","8","1","9","6","8","7","7","631b485e2d1909111a6fb09a","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=631b485e2d1909111a6fb09a&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=64399f90c5551a5891935c05","robot","person","surprise"
"4/14/23 12:49","4/14/23 12:50","0","Anonymized","100","52","1","4/14/23 12:50","R_1ovwkxKtV11KrCS","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","6","4","6","","","","","6","5","60e269b58d238fbba93aed38","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=60e269b58d238fbba93aed38&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a043ba42aa69cce0faf4","person","person","H"
"4/14/23 12:50","4/14/23 12:51","0","Anonymized","100","57","1","4/14/23 12:51","R_3kyXKnRLqTA88Od","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","7","7","8","","","","","10","10","6400df36b874223e35e25247","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=6400df36b874223e35e25247&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a05edc1aa47b1a82cf18","person","person","H"
"4/14/23 12:50","4/14/23 12:52","0","Anonymized","100","100","1","4/14/23 12:52","R_22s4Ci69cBbVoXN","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","8","7","8","","","","","7","7","62cef3a68ad303ac017d56a7","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=62cef3a68ad303ac017d56a7&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a06a6bf3c56b53bc2613","robot","robot","P"
"4/14/23 12:51","4/14/23 12:52","0","Anonymized","100","83","1","4/14/23 12:52","R_aghFW5MvJ0Z8Rqh","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","5","5","10","","","","","10","9","6234965d3869b875dc31d93a","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=6234965d3869b875dc31d93a&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a0964ddd8f4c87a45626","robot","robot","P"
"4/14/23 12:52","4/14/23 12:53","0","Anonymized","100","65","1","4/14/23 12:54","R_262yiE4za2T7KAX","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","8","7","9","","","","","10","6","640d988c383c60ed564dd05e","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=640d988c383c60ed564dd05e&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a0fa9e95d20aaed976ce","person","person","H"
"4/14/23 12:52","4/14/23 12:54","0","Anonymized","100","89","1","4/14/23 12:54","R_3qJRMA5tOzcUXWQ","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","7","7","7","1","7","8","7","8","8","64136da866ff27f7bf98cfe0","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=64136da866ff27f7bf98cfe0&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a0f6f9005a49f470c7ff","robot","person","surprise"
"4/14/23 12:54","4/14/23 12:55","0","Anonymized","100","49","1","4/14/23 12:55","R_1CCIYqJqqm1CSGE","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","8","8","9","","","","","10","9","63d18647419ae52f5e141607","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=63d18647419ae52f5e141607&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a153282b77e8bf512269","robot","robot","P"
