"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent-yes-no","Q1","Q2","s1","s2","s3","s4r","Q_URL","PROLIFIC_PID"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Distribution Channel","User Language","Do you consent?","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?



The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.","Please indicate your agreement with the following statements.



Morally, robots will always count for less than humans.","Humans should always have the right to use robots however they want to.","It should always be morally acceptable to trade robots like possessions.","If robots become indistinguishable from humans, they should have basic legal rights such as a right to life or a prohibition of torture.","Q_URL","PROLIFIC_PID"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11""}","{""ImportId"":""QID1715785126""}","{""ImportId"":""QID1715785127""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""Q_URL""}","{""ImportId"":""PROLIFIC_PID""}"
"2023-04-12 11:10:35","2023-04-12 11:11:27","0","100","52","1","2023-04-12 11:11:28","R_2akTT85Bbw9NFbl",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","2","6","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60fdcc2bd36d10b134c14cb8&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436e607d2033dcd0f88f7f6","60fdcc2bd36d10b134c14cb8"
"2023-04-12 11:17:09","2023-04-12 11:18:19","0","100","70","1","2023-04-12 11:18:20","R_XEMXSDDJrgCWqKB",NA,NA,NA,NA,"anonymous","EN","2","2","1","4","2","2","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=634dc24f54550e4f59130dfe&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436e78fd5274c4b3ede99e4","634dc24f54550e4f59130dfe"
"2023-04-12 11:18:57","2023-04-12 11:20:05","0","100","68","1","2023-04-12 11:20:06","R_3qBXNrH5NJEK5lE",NA,NA,NA,NA,"anonymous","EN","2","2","1","3","4","3","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60fdc40f41e8e10a0ddabb22&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436e7f8e08cff78011f4dc1","60fdc40f41e8e10a0ddabb22"
"2023-04-12 11:21:52","2023-04-12 11:22:30","0","100","37","1","2023-04-12 11:22:30","R_acazGn9h85e7E5z",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=62d3c8e9215d70649dbe1592&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436e8acb82d31d44c8d7ef7","62d3c8e9215d70649dbe1592"
"2023-04-12 11:22:22","2023-04-12 11:23:46","0","100","83","1","2023-04-12 11:23:47","R_CkIMLT47AkZsv8B",NA,NA,NA,NA,"anonymous","EN","2","2","1","1","1","1","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60bbecfa49560f998e3b82f3&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436e8c49e799762898700e2","60bbecfa49560f998e3b82f3"
"2023-04-12 11:31:29","2023-04-12 11:32:11","0","100","42","1","2023-04-12 11:32:12","R_3EFHFuAn1s5epDE",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","5","7","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=6136c93fb606f28f56edc299&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436eaecf2923a81b8d679dd","6136c93fb606f28f56edc299"
"2023-04-12 11:35:21","2023-04-12 11:36:14","0","100","52","1","2023-04-12 11:36:15","R_wNPev0zAQz9ukwN",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","3","4","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60fdba6ce646a6a6bdf5c8d5&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ebd48d056f0ff6fe8d17","60fdba6ce646a6a6bdf5c8d5"
"2023-04-12 11:37:11","2023-04-12 11:37:46","0","100","34","1","2023-04-12 11:37:47","R_11c5Ij5C15R36dh",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","5","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5c562dca9cb386000178ffff&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ec4157b30635996d933c","5c562dca9cb386000178ffff"
"2023-04-12 11:37:16","2023-04-12 11:37:55","0","100","39","1","2023-04-12 11:37:56","R_xG97bEhTNyLyQ5r",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","5","5","6","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60fcf4962b970932cbdd186b&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ec44a1873e234c7640f7","60fcf4962b970932cbdd186b"
"2023-04-12 11:39:29","2023-04-12 11:39:53","0","100","24","1","2023-04-12 11:39:54","R_741jGW9b7YtvH9f",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","4","5","3","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=6276d892a859c0c33a1e011c&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ecca7b33604581200b16","6276d892a859c0c33a1e011c"
"2023-04-12 11:39:44","2023-04-12 11:41:11","0","100","86","1","2023-04-12 11:41:12","R_1C3CPhHKF1iDgbb",NA,NA,NA,NA,"anonymous","EN","2","2","1","2","2","3","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5c3d07a85a994b0001c10bb2&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ecd23be050efc73785de","5c3d07a85a994b0001c10bb2"
"2023-04-12 11:40:14","2023-04-12 11:41:23","0","100","69","1","2023-04-12 11:41:24","R_1rPVSLbomwOIFgV",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","4","4","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=61250513eb1eb486ddd0c743&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ec6d92d0ee2713ab0162","61250513eb1eb486ddd0c743"
"2023-04-12 11:47:29","2023-04-12 11:48:04","0","100","34","1","2023-04-12 11:48:05","R_zUz5WzGTEMDhLP3",NA,NA,NA,NA,"anonymous","EN","2","2","1","3","3","2","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=56bae08f30d6b30005f8537a&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436eeac8a1cfbdb67dfd0ca","56bae08f30d6b30005f8537a"
"2023-04-12 11:49:46","2023-04-12 11:50:12","0","100","25","1","2023-04-12 11:50:12","R_3KmFMTvbXTIdkHf",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","5","5","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=63175d865ac96b0149de8ad6&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef342c2ac0763030be73","63175d865ac96b0149de8ad6"
"2023-04-12 11:50:11","2023-04-12 11:50:37","0","100","26","1","2023-04-12 11:50:38","R_1jVZWmd3gLyVeE5",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","6","7","2","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=6110cb9fd3ba23cecacc8fc4&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef4a943ba2adb85a4fc0","6110cb9fd3ba23cecacc8fc4"
"2023-04-12 11:50:15","2023-04-12 11:50:47","0","100","31","1","2023-04-12 11:50:47","R_2VrM45sl4TwgHwU",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","5","5","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=63d40052d6042c20ba2ce649&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef539e9434a96c37860d","63d40052d6042c20ba2ce649"
"2023-04-12 11:50:12","2023-04-12 11:50:49","0","100","37","1","2023-04-12 11:50:50","R_1GBmTcXzTewttNZ",NA,NA,NA,NA,"anonymous","EN","2","2","1","4","5","5","2","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5ed85fbefd7ffe37615b73a4&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef4102970b2874806147","5ed85fbefd7ffe37615b73a4"
