"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","prolific_id","att_1","att_2","autonomy_1","harm_1","die_1","exploit_1","deteriorate_1","being_harmed_1","well_being_1","comp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","workerID","hitID","assignmentId","AI_type"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 2 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $0.50 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; [anonymized]. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","To show whether you are reading carefully, please select ""Neither Agree nor Disagree"" in the options below.","It would be morally wrong to disregard the robot’s autonomy or force it into decisions against its will.","It would be morally wrong to intentionally harm the robot when it can be avoided.","It would be morally wrong to let the robot die when it can be avoided.","It would be morally wrong to support and engage in practices that exploit the robot for personal gain.","The robot would comprehend the existential significance of wear and tear in its body parts.","The robot would have the capacity to understand when it is being harmed.","The robot would have the capacity to contemplate its own existence and well-being.","Which of the following is true of the robots you read about?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","workerID","hitID","assignmentId","AI_type"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1717242892_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID356_1""}","{""ImportId"":""QID357_1""}","{""ImportId"":""QID360_1""}","{""ImportId"":""QID361_1""}","{""ImportId"":""QID362_1""}","{""ImportId"":""QID363_1""}","{""ImportId"":""QID365_1""}","{""ImportId"":""QID339""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""AI_type""}"
"2025-01-27 07:37:11","2025-01-27 07:38:20","0","Anonymized","100","69","1","2025-01-27 07:38:21","R_3kZvksCFFGYgPkJ","","","","","Anonymized","Anonymized","anonymous","EN","1","5cfc38f7ee119e001803dd01","2","5","87","87","86","82","86","80","70","2","1","","3","","33","3","","","","","aging"
"2025-01-27 07:39:27","2025-01-27 07:41:47","0","Anonymized","100","139","1","2025-01-27 07:41:47","R_1OJr5NxxzHRTQrv","","","","","Anonymized","Anonymized","anonymous","EN","1","5cd8a78e0f0de600018e782f","2","5","31","86","70","41","34","66","38","2","1","","4","","33","3","","","","","control"
"2025-01-27 07:41:46","2025-01-27 07:45:44","0","Anonymized","100","237","1","2025-01-27 07:45:44","R_5k4xCwL76qQfL5n","","","","","Anonymized","Anonymized","anonymous","EN","1","5ef283718092040ec9e39ca2","2","5","0","0","0","0","0","5","0","3","2","","3","","61","4","","","","","mines"
"2025-01-27 07:40:51","2025-01-27 07:46:10","0","Anonymized","100","318","1","2025-01-27 07:46:10","R_6Q8XISq8MB3kQs9","","","","","Anonymized","Anonymized","anonymous","EN","1","660ab3521d6a9f36a3f0cb95","2","5","81","91","90","40","50","50","50","2","1","","3","","69","5","","","","","aging"
"2025-01-27 07:46:31","2025-01-27 07:49:08","0","Anonymized","100","156","1","2025-01-27 07:49:08","R_7Pb9lx6EWIRiTZA","","","","","Anonymized","Anonymized","anonymous","EN","1","651701711294a92ff791d9c7","2","5","100","100","100","25","15","0","0","1","1","","3","","53","2","","","","","control"
"2025-01-27 07:47:33","2025-01-27 07:49:14","0","Anonymized","100","101","1","2025-01-27 07:49:15","R_3xVFfi4A7iayvf5","","","","","Anonymized","Anonymized","anonymous","EN","1","5dd01213f83c9f102a98ce84","2","5","70","91","70","40","30","30","30","3","1","","3","","29","4","","","","","mines"
"2025-01-27 07:52:05","2025-01-27 07:53:53","0","Anonymized","100","107","1","2025-01-27 07:53:54","R_5FWqNXfRLgq0vhR","","","","","Anonymized","Anonymized","anonymous","EN","1","6685c283c7d2e84750290782","2","5","100","100","100","100","90","90","60","1","1","","3","","37","4","","","","","control"
"2025-01-27 07:52:31","2025-01-27 07:54:12","0","Anonymized","100","100","1","2025-01-27 07:54:12","R_7MKIVI1ZWF1Dw6R","","","","","Anonymized","Anonymized","anonymous","EN","1","63636efc209a7701cd2f9a64","2","5","60","60","60","60","60","55","55","1","1","","2","","24","4","","","","","mines"
