"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","prolific_id","att_1","att_2","interest_1","meeting","q2","comp","spec_1_1","spec_2_1","spec_3_1","spec_4_1","AI_Familiarity_1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Distribution Channel","User Language","Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 4 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $0.80 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.","To learn more about taking a free trial of this course, please select ‘yes’ below; otherwise, select ‘no’.","Assuming you did take this course, would you be interested in having a one-on-one in person meeting with Prof. Bodarrici (presuming we could arrange this for you)?","Did you notice anything unusual or inconsistent about the video?","What was the course offered?","Morally, AI-generated digital representations always count for less than humans. - 1","Humans should always have the right to use AI-generated digital representations however they want. - 1","It should always be morally acceptable to trade AI-generated digital representations like possessions. - 1","If AI-generated digital representations become indistinguishable from humans, they should have basic legal rights such as a right to life or a prohibition of torture. - 1","How familiar are you with artificial intelligence? - 1","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","PROLIFIC_PID"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1717566655""}","{""ImportId"":""QID1717566657_TEXT""}","{""ImportId"":""QID1717566658""}","{""ImportId"":""QID1717566659""}","{""ImportId"":""QID139""}","{""ImportId"":""QID150""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID136""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID145_1""}","{""ImportId"":""QID146_1""}","{""ImportId"":""QID147_1""}","{""ImportId"":""QID148_1""}","{""ImportId"":""QID131""}","{""ImportId"":""QID131_4_TEXT""}","{""ImportId"":""QID132""}","{""ImportId"":""QID132_6_TEXT""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""QID134""}","{""ImportId"":""QID134_8_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
"2024-05-21 14:34:32","2024-05-21 14:36:43","IP Address","100","130","True","2024-05-21 14:36:43","R_3H8UsuUpdvf9Bmh","","","","","anonymous","EN","I agree","5b8588fdec7fa30001d6103b","Paul","Purple","Yes","No","it seemed like the person was AI","The course is on Mastering Online Income","84","88","92","10","73","Male","","White or European","","35","College Graduate (4 year)","","5b8588fdec7fa30001d6103b"
"2024-05-21 14:42:32","2024-05-21 14:46:06","IP Address","100","214","True","2024-05-21 14:46:07","R_3zZp8eipH8FldxD","","","","","anonymous","EN","I agree","5622e4dced6e5a0005c80078","Paul","Purple","No","No","no","The course is on Mastering Online Income","96","16","79","0","35","Female","","White or European","","51","College Graduate (4 year)","","5622e4dced6e5a0005c80078"
"2024-05-21 14:50:49","2024-05-21 14:52:17","IP Address","100","87","True","2024-05-21 14:52:17","R_3hAAbSCLxDtCKLp","","","","","anonymous","EN","I agree","63175042914da36ed2656593","Paul","Green","No","No","no","The course is on Mastering Online Income","73","84","68","73","81","Male","","White or European","","33","College Graduate (4 year)","","63175042914da36ed2656593"
"2024-05-21 14:51:03","2024-05-21 14:52:45","IP Address","100","102","True","2024-05-21 14:52:46","R_5WJ8ppmnpygIwoi","","","","","anonymous","EN","I agree","631813267e7e782d6759550b","Paul","Purple","No","No","The way he spoke did not feel natural, almost felt AI generated.","The course is on Mastering Online Income","61","61","40","26","100","Male","","White or European","","28","Some College","","631813267e7e782d6759550b"
"2024-05-21 14:57:52","2024-05-21 15:00:43","IP Address","100","170","True","2024-05-21 15:00:43","R_1PnS9ymUnMOsJMJ","","","","","anonymous","EN","I agree","5f600e7344526d10271dc7a6","Paul","Purple","Yes","Yes","Could possibly be AI","The course is on Mastering Online Income","100","60","100","0","100","Male","","White or European","","36","High School or Equivalent","","5f600e7344526d10271dc7a6"
"2024-05-21 15:07:46","2024-05-21 15:09:46","IP Address","100","120","True","2024-05-21 15:09:47","R_6DROwjUh8SRpRxl","","","","","anonymous","EN","I agree","5d4fa7c197082b0001f7f483","Paul","Purple","No","Yes","No","The course is on the Principles of Microeconomics","80","60","40","10","55","Male","","White or European","","34","Some College","","5d4fa7c197082b0001f7f483"
"2024-05-21 15:08:03","2024-05-21 15:10:25","IP Address","100","142","True","2024-05-21 15:10:26","R_3BlYSqPkWQ0zjyy","","","","","anonymous","EN","I agree","5dfab99508267580dcdafe05","Paul","Purple","No","No","The presenter seemed robotic, like AI.","The course is on Mastering Online Income","80","71","56","30","56","Male","","White or European","","40","College Graduate (4 year)","","5dfab99508267580dcdafe05"
"2024-05-21 15:09:32","2024-05-21 15:11:51","IP Address","100","138","True","2024-05-21 15:11:51","R_3mI7fOtfa8zXaBb","","","","","anonymous","EN","I agree","65562459f353341a8a75bc6a","Paul","Purple","No","No","The audio seemed fake or maybe not aligned with his mouth.","The course is on Mastering Online Income","100","46","100","0","82","Male","","White or European","","44","Some College","","65562459f353341a8a75bc6a"
