Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634dbab2f90926c9501f92b6,60849315ee37a72c9eee269f,APPROVED,2022-10-17T20:27:34.067000Z,2022-10-17T20:28:03.949000Z,2022-10-17T20:28:04.668000Z,2022-10-17T20:28:04.582153Z,30,C144ZYME,296,20,Female,White,United States,United States,United States,English,Yes,Full-Time,
634dbae4b099708458e95381,5e9e0ebea6b90f1a3aeab717,APPROVED,2022-10-17T20:28:23.886000Z,2022-10-17T20:29:04.707000Z,2022-10-17T20:29:05.124000Z,2022-10-17T20:29:05.046528Z,41,C144ZYME,700,59,Male,White,United States,United States,United States,English,No,Full-Time,
634dbb1bf90926c9501f92c0,5efaffccf90911000c95a3cb,APPROVED,2022-10-17T20:29:18.848000Z,2022-10-17T20:32:46.271000Z,2022-10-17T20:32:47.115000Z,2022-10-17T20:32:47.028777Z,208,C144ZYME,734,31,Male,White,United States,United States,United States,English,No,Full-Time,
634dbbb582a07f6510137952,60fda1c1ea8a7ac21b668654,APPROVED,2022-10-17T20:31:52.478000Z,2022-10-17T20:32:21.844000Z,2022-10-17T20:32:22.705000Z,2022-10-17T20:32:22.646823Z,30,C144ZYME,425,21,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),
634dbc8ee0059e4123eef501,5ee7c65630668708f3ae178e,APPROVED,2022-10-17T20:35:29.581000Z,2022-10-17T20:36:59.688000Z,2022-10-17T20:37:00.116000Z,2022-10-17T20:37:00.038503Z,91,C144ZYME,728,22,Female,Other,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dbcb13c38c3fa02ec2b54,5bb91c132e2fe50001be0d08,APPROVED,2022-10-17T20:36:06.729000Z,2022-10-17T20:36:58.247000Z,2022-10-17T20:36:58.697000Z,2022-10-17T20:36:58.621816Z,52,C144ZYME,1574,45,Male,White,United States,United States,United States,English,No,Full-Time,
634dbd6296d49699f461e459,60eb857b5d9d956e6465ee3c,APPROVED,2022-10-17T20:39:01.357000Z,2022-10-17T20:41:41.039000Z,2022-10-17T20:41:41.578000Z,2022-10-17T20:41:42.187083Z,160,C144ZYME,1498,42,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dbdb7e0059e4123eef523,6110d7682e31df49ccb422a2,APPROVED,2022-10-17T20:40:27.381000Z,2022-10-17T20:42:41.054000Z,2022-10-17T20:42:41.540000Z,2022-10-17T20:42:41.467050Z,134,C144ZYME,509,20,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dbdf41bae09641f1aa58e,5f511ab38505ac2e8fbfac5e,APPROVED,2022-10-17T20:41:27.154000Z,2022-10-17T20:41:58.328000Z,2022-10-17T20:42:04.851000Z,2022-10-17T20:42:05.150517Z,32,C144ZYME,623,23,Female,White,United States,United States,United States,English,Yes,Other,
634dbe2a9ca5e7ffd4e95309,60fd01cc86bb3e402db85e93,APPROVED,2022-10-17T20:42:23.174000Z,2022-10-17T20:45:14.305000Z,2022-10-17T20:45:14.811000Z,2022-10-17T20:45:14.733285Z,172,C144ZYME,1509,35,Female,White,United States,United States,United States,English,No,Full-Time,
634dbe4d068c8e15b106c0d6,5eadbd0338533245d9586905,APPROVED,2022-10-17T20:42:59.609000Z,2022-10-17T20:43:39.721000Z,2022-10-17T20:43:41.337000Z,2022-10-17T20:43:41.272031Z,41,C144ZYME,183,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dbe5d5a0c427a43529214,616e5149b67e8686b9579457,APPROVED,2022-10-17T20:43:13.777000Z,2022-10-17T20:44:49.750000Z,2022-10-17T20:44:51.049000Z,2022-10-17T20:44:50.984512Z,96,C144ZYME,114,24,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dbe619ffa79132f84f0ae,612819f86ec9a09cbe473621,APPROVED,2022-10-17T20:43:18.402000Z,2022-10-17T20:47:28.555000Z,2022-10-17T20:47:28.978000Z,2022-10-17T20:47:28.901471Z,251,C144ZYME,92,19,Male,Other,United States,United States,United States,English,No,Unemployed (and job seeking),
634dbea4e67ed700ad06c0aa,5fcc2ade9fd435a7167cf375,APPROVED,2022-10-17T20:44:24.454000Z,2022-10-17T20:45:06.869000Z,2022-10-17T20:45:07.336000Z,2022-10-17T20:45:07.264690Z,43,C144ZYME,728,21,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
634dbef8ec246e6e491dfa3c,62e1ce78f3baa9e8ae1acfdf,APPROVED,2022-10-17T20:45:46.549000Z,2022-10-17T20:46:32.420000Z,2022-10-17T20:46:32.868000Z,2022-10-17T20:46:32.805011Z,46,C144ZYME,39,35,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dbf1b04e694f37dc4b8df,61006f174b5aabf905131ae1,APPROVED,2022-10-17T20:46:22.860000Z,2022-10-17T20:47:53.216000Z,2022-10-17T20:47:53.731000Z,2022-10-17T20:47:53.655455Z,91,C144ZYME,1079,20,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),
634dbf531e235d9c6bc95132,558991a1fdf99b7ae47f5e17,APPROVED,2022-10-17T20:47:18.841000Z,2022-10-17T20:47:48.725000Z,2022-10-17T20:47:49.175000Z,2022-10-17T20:47:49.105047Z,30,C144ZYME,481,42,Female,White,United States,United States,United States,English,No,Full-Time,
634dbf73fc8c9fa991b52fea,61076cf1fb9def06082c7c51,APPROVED,2022-10-17T20:47:53.342000Z,2022-10-17T20:49:40.413000Z,2022-10-17T20:49:40.894000Z,2022-10-17T20:49:40.822691Z,108,C144ZYME,624,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dbf9cbb8ae8589b1dfa8e,62bf08d7c034d62ef37446c5,APPROVED,2022-10-17T20:48:32.599000Z,2022-10-17T20:50:10.065000Z,2022-10-17T20:50:10.525000Z,2022-10-17T20:50:10.445718Z,98,C144ZYME,229,30,Female,White,United States,United States,United States,English,No,Full-Time,
634dc0383d3b9bb5f7130e34,628695630a79f5750c7bbbc9,APPROVED,2022-10-17T20:51:06.450000Z,2022-10-17T20:51:27.958000Z,2022-10-17T20:51:28.419000Z,2022-10-17T20:51:28.345928Z,22,C144ZYME,343,26,Male,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dc04516793a3140b6c09c,60fce861ff1729d65780f19c,APPROVED,2022-10-17T20:51:20.877000Z,2022-10-17T20:53:38.060000Z,2022-10-17T20:53:38.481000Z,2022-10-17T20:53:38.417026Z,138,C144ZYME,277,21,Female,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,
634dc0485148be61ba2f070b,631745e629b21fca01e626d0,APPROVED,2022-10-17T20:51:25.232000Z,2022-10-17T20:52:59.641000Z,2022-10-17T20:53:00.108000Z,2022-10-17T20:53:00.035256Z,95,C144ZYME,29,34,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dc04c661d076263fa7ea9,5f9b58e0c568de202e7db34f,APPROVED,2022-10-17T20:51:24.340000Z,2022-10-17T20:52:27.759000Z,2022-10-17T20:52:28.259000Z,2022-10-17T20:52:28.190775Z,64,C144ZYME,1791,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc0a148efd93d5d25eea8,6335f7d7dad0ae03e9a2509a,APPROVED,2022-10-17T20:52:54.313000Z,2022-10-17T20:53:20.526000Z,2022-10-17T20:53:21.015000Z,2022-10-17T20:53:20.954258Z,27,C144ZYME,5,31,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc0f5845e3614bf1d110a,608accf9beae70918882a264,APPROVED,2022-10-17T20:54:15.293000Z,2022-10-17T20:54:58.809000Z,2022-10-17T20:54:59.251000Z,2022-10-17T20:54:59.174546Z,44,C144ZYME,574,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc10c4055caf880c14724,61588f27299f923d579de650,APPROVED,2022-10-17T20:54:39.980000Z,2022-10-17T20:55:17.910000Z,2022-10-17T20:55:18.374000Z,2022-10-17T20:55:18.950929Z,38,C144ZYME,1497,24,Female,Asian,United States,United States,United States,Chinese,No,Full-Time,
634dc112215c77dce605fd74,630e0e5d10c418991ce50062,APPROVED,2022-10-17T20:54:46.254000Z,2022-10-17T20:57:27.131000Z,2022-10-17T20:57:27.634000Z,2022-10-17T20:57:27.572478Z,161,C144ZYME,115,21,Male,White,United States,United States,United States,English,Yes,Part-Time,
634dc11c41012965a5d7252e,6124edb0f97c57e946a19306,APPROVED,2022-10-17T20:54:56.939000Z,2022-10-17T20:55:41.486000Z,2022-10-17T20:55:41.918000Z,2022-10-17T20:55:41.849726Z,45,C144ZYME,260,25,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dc11c8a692258241ffa05,5b6bacf00afa6f000107210f,APPROVED,2022-10-17T20:54:56.522000Z,2022-10-17T20:55:38.626000Z,2022-10-17T20:55:39.102000Z,2022-10-17T20:55:39.026279Z,43,C144ZYME,2165,62,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc1329e612c32e31bbfa4,63175cc14464be53aad435f2,APPROVED,2022-10-17T20:55:18.698000Z,2022-10-17T20:58:18.777000Z,2022-11-07T00:00:30.907000Z,2022-10-17T20:58:19.214306Z,181,CT6IGY71,7,19,Female,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc13d2d6d9838e293e450,5dc2cbba034b451e7bd05f14,APPROVED,2022-10-17T20:55:29.415000Z,2022-10-17T20:57:37.868000Z,2022-10-17T20:57:38.348000Z,2022-10-17T20:57:38.274416Z,129,C144ZYME,732,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc145df53578f1706c0a4,632259eb84f23e6068fcf518,APPROVED,2022-10-17T20:55:37.174000Z,2022-10-17T20:58:34.402000Z,2022-10-17T20:58:34.840000Z,2022-10-17T20:58:34.763347Z,178,C144ZYME,17,41,Male,White,United States,United States,United States,English,No,Part-Time,
634dc15888b4a26431b8e9ff,60db78d2f886949f58249536,APPROVED,2022-10-17T20:55:53.953000Z,2022-10-17T20:57:29.488000Z,2022-10-17T20:57:29.907000Z,2022-10-17T20:57:29.837665Z,96,C144ZYME,399,21,Male,White,United States,United States,United States,English,Yes,Full-Time,
634dc16e1904842007661a30,5d7431a92a3f0f001a0e4341,APPROVED,2022-10-17T20:56:17.072000Z,2022-10-17T20:58:19.973000Z,2022-10-17T20:58:20.373000Z,2022-10-17T20:58:20.312302Z,123,C144ZYME,1545,59,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc17ec55e455f68af7843,565bff58c121fe0005fc390d,APPROVED,2022-10-17T20:56:30.317000Z,2022-10-17T20:57:53.202000Z,2022-10-17T20:57:58.685000Z,2022-10-17T20:57:53.604008Z,83,C144ZYME,799,42,Female,Black,United States,United States,United States,English,No,Full-Time,
634dc197edf0bdc8491d115d,5588b9e5fdf99b7f40e7f428,APPROVED,2022-10-17T20:56:57.554000Z,2022-10-17T20:57:35.436000Z,2022-10-17T20:57:35.942000Z,2022-10-17T20:57:35.868167Z,38,C144ZYME,3542,48,Male,White,United States,United States,United States,English,No,Other,
634dc1994b79e6744e644389,6088acc5decc809dbe82850b,APPROVED,2022-10-17T20:57:05.900000Z,2022-10-17T20:57:53.221000Z,2022-10-17T20:57:53.661000Z,2022-10-17T20:57:53.575294Z,48,C144ZYME,2537,51,Male,White,United States,United States,United States,English,No,Full-Time,
634dc199767e90b570eef4e2,633c77de9a3b9ca5fa6e7096,APPROVED,2022-10-17T20:57:00.143000Z,2022-10-17T20:59:18.825000Z,2022-10-17T20:59:19.279000Z,2022-10-17T20:59:19.201253Z,139,C144ZYME,33,22,Male,Other,United States,United States,United States,English,No,DATA_EXPIRED,
634dc1a124eaae36f2dc7143,5d37e5a13cedb4001aafed7a,APPROVED,2022-10-17T20:57:06.869000Z,2022-10-17T20:57:38.877000Z,2022-10-17T20:57:39.546000Z,2022-10-17T20:57:39.473704Z,33,C144ZYME,784,24,Female,Asian,United States,United States,United States,English,Yes,Other,
634dc1a89a581f6ed86443d0,6290e9216c8b8a36d9ac92cb,APPROVED,2022-10-17T20:57:14.278000Z,2022-10-17T20:58:37.232000Z,2022-10-17T20:58:37.634000Z,2022-10-17T20:58:37.575283Z,83,C144ZYME,293,37,Male,Asian,United States,United States,United States,English,No,Full-Time,
634dc1b02db4d11c0dc4b8cc,606ce950bef1f305c877048d,APPROVED,2022-10-17T20:57:24.431000Z,2022-10-17T20:58:05.798000Z,2022-10-17T20:58:07.291000Z,2022-10-17T20:58:07.244408Z,42,C144ZYME,1543,20,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc1bdc55e455f68af784c,6110e96d5defddb4f3774be2,APPROVED,2022-10-17T20:57:35.911000Z,2022-10-17T20:58:20.945000Z,2022-10-17T20:58:21.389000Z,2022-10-17T20:58:21.327612Z,46,C144ZYME,1510,23,Female,Asian,United States,United States,United States,Vietnamese,No,Unemployed (and job seeking),
634dc1d5b9de753f3ac4b8ae,5f2a13417b4ac51dc95d38c1,APPROVED,2022-10-17T20:57:59.647000Z,2022-10-17T20:59:20.277000Z,2022-10-17T20:59:20.762000Z,2022-10-17T20:59:22.179157Z,81,C144ZYME,1472,22,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc1d96c3efcc289068182,5febb30450a719c947d89794,APPROVED,2022-10-17T20:58:04.436000Z,2022-10-17T20:58:46.624000Z,2022-10-17T20:58:47.067000Z,2022-10-17T20:58:47.006861Z,43,C144ZYME,1447,22,Male,White,United States,United States,United States,English,Yes,Full-Time,
634dc1df8a692258241ffa10,5a08ddd0df3fa800015c36ac,APPROVED,2022-10-17T20:58:12.409000Z,2022-10-17T21:00:39.928000Z,2022-10-17T21:00:40.469000Z,2022-10-17T21:00:40.408409Z,148,C144ZYME,1482,25,Male,White,United States,United States,United States,English,No,Other,
634dc1f51b582d4f1da40dab,5d487f57a1cf350016cb3c76,APPROVED,2022-10-17T20:58:31.729000Z,2022-10-17T20:59:32.311000Z,2022-10-17T20:59:32.869000Z,2022-10-17T20:59:32.788586Z,61,C144ZYME,1239,28,Male,Asian,United States,United States,United States,English,No,Full-Time,
634dc201d07a1c4d3616acc5,623a2e42546a236f010f14db,APPROVED,2022-10-17T20:58:47.028000Z,2022-10-17T21:00:42.080000Z,2022-10-17T21:00:42.502000Z,2022-10-17T21:00:42.440882Z,116,C144ZYME,123,56,Female,White,United States,United States,United States,English,No,Full-Time,
634dc205b306f244c2a40dc3,5f356e8b725d18529807d33c,APPROVED,2022-10-17T20:58:49.276000Z,2022-10-17T20:59:31.106000Z,2022-10-17T20:59:31.623000Z,2022-10-17T20:59:31.535105Z,42,C144ZYME,891,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time,
634dc20d96b779884ee952f3,60fcb846e939e5bebc60dd8c,APPROVED,2022-10-17T20:58:56.623000Z,2022-10-17T21:00:36.814000Z,2022-10-17T21:00:37.384000Z,2022-10-17T21:00:37.308812Z,101,C144ZYME,522,21,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,
634dc20d9eb75e5a2505fda1,62db795b4a113cbafab4a4ce,APPROVED,2022-10-17T20:58:57.980000Z,2022-10-17T21:01:10.444000Z,2022-10-17T21:01:10.880000Z,2022-10-17T21:01:10.903433Z,133,C144ZYME,325,29,Male,White,United States,United States,United States,English,No,Full-Time,
634dc2301e235d9c6bc9515c,628fb1691d85e1d9b9fbca18,APPROVED,2022-10-17T20:59:32.956000Z,2022-10-17T21:02:02.621000Z,2022-10-17T21:02:03.099000Z,2022-10-17T21:02:03.004087Z,150,C144ZYME,287,28,Male,White,United States,United States,United States,English,Yes,Full-Time,
634dc24c41012965a5d72543,61623ad84830ba2dc69f7472,APPROVED,2022-10-17T21:00:00.024000Z,2022-10-17T21:00:47.827000Z,2022-10-17T21:00:48.374000Z,2022-10-17T21:00:48.301633Z,48,C144ZYME,813,20,Male,Asian,Bangladesh,United States,United States,English,Yes,Part-Time,
634dc25c49dfdb6c75eef501,631e51b7febc5f7cae21c1c3,APPROVED,2022-10-17T21:00:16.206000Z,2022-10-17T21:05:08.602000Z,2022-10-17T21:05:09.169000Z,2022-10-17T21:05:09.094932Z,293,C144ZYME,56,24,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dc25f30425d0965fa7ee2,5923075977692a0001331e7b,APPROVED,2022-10-17T21:00:18.489000Z,2022-10-17T21:00:58.383000Z,2022-10-17T21:00:58.794000Z,2022-10-17T21:00:58.723720Z,40,C144ZYME,4,30,Male,Other,United States,United States,United States,Spanish,No,Full-Time,
634dc28793606ab4b8fa7ea2,5bea832a4fbb6f00017ea3e9,APPROVED,2022-10-17T21:00:58.824000Z,2022-10-17T21:02:58.994000Z,2022-10-17T21:02:59.694000Z,2022-10-17T21:02:59.662088Z,121,C144ZYME,12,35,Male,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,
634dc2a369b4cd2e2dd26762,6106bad588d258f0bdce42c9,APPROVED,2022-10-17T21:01:25.403000Z,2022-10-17T21:01:57.668000Z,2022-10-17T21:01:58.119000Z,2022-10-17T21:01:58.033194Z,33,C144ZYME,1685,23,Female,White,United States,United States,United States,English,No,Full-Time,
634dc2b805c5585e251aa582,5cabcfb2bf53e10001fa48ad,APPROVED,2022-10-17T21:01:48.284000Z,2022-10-17T21:03:31.814000Z,2022-10-17T21:03:36.807000Z,2022-10-17T21:03:42.229624Z,104,C144ZYME,1487,32,Male,Asian,United States,United States,United States,English,No,Full-Time,
634dc2bc8ab2474cec2ac28d,631b91e1f2191358cb57f44e,APPROVED,2022-10-17T21:01:54.342000Z,2022-10-17T21:03:28.031000Z,2022-10-17T21:03:31.048000Z,2022-10-17T21:03:31.008054Z,94,C144ZYME,19,66,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc2c2bfd896ae12b8678e,5c46b35f904c420001274333,APPROVED,2022-10-17T21:01:59.511000Z,2022-10-17T21:05:00.757000Z,2022-10-17T21:05:01.242000Z,2022-10-17T21:05:01.319438Z,182,C144ZYME,2275,63,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc2c73c3f0a36357ff6c2,5565e1e0fdf99b5a0e22d11a,APPROVED,2022-10-17T21:02:02.593000Z,2022-10-17T21:02:30.971000Z,2022-10-17T21:02:31.831000Z,2022-10-17T21:02:31.868868Z,29,C144ZYME,155,50,Female,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED,
634dc2f04fe10af04e061c8e,5d93b788fdfe9d001c00c255,APPROVED,2022-10-17T21:02:42.338000Z,2022-10-17T21:04:49.865000Z,2022-10-17T21:04:50.319000Z,2022-10-17T21:04:50.238617Z,128,C144ZYME,2608,43,Female,White,United States,United States,United States,English,No,Full-Time,
634dc2f865a8f65b8dd1b8d0,60b7a7dfc5a1bd9918264eb1,APPROVED,2022-10-17T21:02:51.943000Z,2022-10-17T21:04:37.553000Z,2022-10-17T21:04:38.064000Z,2022-10-17T21:04:37.988055Z,106,C144ZYME,600,28,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dc2f8d4c97f657751664f,5ede22703409e1042973a050,APPROVED,2022-10-17T21:02:54.505000Z,2022-10-17T21:04:54.554000Z,2022-10-17T21:04:55.086000Z,2022-10-17T21:04:54.993030Z,121,C144ZYME,880,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc30b74a53a0dc7a9fb38,60b8c971290b0840ba054993,APPROVED,2022-10-17T21:03:11.426000Z,2022-10-17T21:03:43.587000Z,2022-10-17T21:03:48.998000Z,2022-10-17T21:03:50.515955Z,33,C144ZYME,461,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc30dec11155e51381c4f,62e1cee18f3b1169ea1bda3f,APPROVED,2022-10-17T21:03:12.970000Z,2022-10-17T21:04:02.839000Z,2022-10-17T21:04:06.779000Z,2022-10-17T21:04:06.719628Z,50,C144ZYME,298,25,Male,White,United States,United States,United States,English,Yes,Part-Time,
634dc31b70343c4a9ea9fb2d,5cdda4f5feca320017f932c2,APPROVED,2022-10-17T21:03:27.395000Z,2022-10-17T21:05:32.232000Z,2022-10-17T21:05:32.694000Z,2022-10-17T21:05:32.627942Z,125,C144ZYME,819,26,Female,White,United States,United States,United States,English,No,Full-Time,
634dc323da5fd746d3ec2b79,5b67a13bcf223500012168e3,APPROVED,2022-10-17T21:03:33.547000Z,2022-10-17T21:05:04.934000Z,2022-10-17T21:05:06.491000Z,2022-10-17T21:05:06.430988Z,92,C144ZYME,549,26,Male,White,United States,United States,United States,English,No,Full-Time,
634dc3289209bd3b2e16acb8,60973c3abc6dc8af9c5ca29a,APPROVED,2022-10-17T21:03:39.048000Z,2022-10-17T21:03:56.806000Z,2022-10-17T21:04:01.526000Z,2022-10-17T21:04:01.583959Z,18,C144ZYME,611,24,Male,Asian,United States,United States,United States,Vietnamese,Yes,DATA_EXPIRED,
634dc35d6bd04d09f2a7fc24,5ed67cbe121a540bac7cad09,APPROVED,2022-10-17T21:04:34.347000Z,2022-10-17T21:05:05.232000Z,2022-10-17T21:05:05.681000Z,2022-10-17T21:05:06.383611Z,31,C144ZYME,2211,30,Female,Asian,United States,United States,United States,English,No,Full-Time,
634dc369792bc0df34644382,5d6285707d06c30019d19765,APPROVED,2022-10-17T21:04:43.670000Z,2022-10-17T21:05:08.631000Z,2022-10-17T21:05:10.150000Z,2022-10-17T21:05:10.079060Z,25,C144ZYME,1523,31,Female,White,United States,United States,United States,English,No,Part-Time,
634dc384e4ff1e9573af780b,62c5bc2f8a2f9e18f2ac0a13,APPROVED,2022-10-17T21:05:11.929000Z,2022-10-17T21:07:29.201000Z,2022-10-17T21:07:29.656000Z,2022-10-17T21:07:29.613805Z,138,C144ZYME,402,35,Male,Asian,United States,United States,United States,English,No,Full-Time,
634dc3bdbba96d36261dfa42,60feedfaf00a8094a9bda931,APPROVED,2022-10-17T21:06:09.568000Z,2022-10-17T21:08:01.689000Z,2022-10-17T21:08:02.214000Z,2022-10-17T21:08:02.139282Z,113,C144ZYME,476,27,Female,White,United States,United States,United States,English,No,Full-Time,
634dc3c1693de35175b5301a,5e2861fb5c6297029148b635,APPROVED,2022-10-17T21:06:13.445000Z,2022-10-17T21:08:22.607000Z,2022-10-17T21:08:23.031000Z,2022-10-17T21:08:22.950827Z,130,C144ZYME,2791,29,Female,White,United States,United States,United States,English,No,Full-Time,
