"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","bot","benefits","human","comfort_1","likely_1","check","easy_1","PROLIFIC_PID","condition","bot.1","benefits.1","human.1","humans_DO_human"
"10/20/22 10:04","10/20/22 10:06",0,100,88,1,"10/20/22 10:06","R_2veKqoAfCqcdDSc",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,6,5,"Health and wellness",4,"5f24b20a9ef53b0c22ccc7e5","robot",1,NA,NA,NA
"10/20/22 10:09","10/20/22 10:11",0,100,110,1,"10/20/22 10:11","R_1Kr6CT3JirjDkik",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,3,1,"Health and wellness store that sells vitamins and yoga products.",5,"6272a38f6f0c7c110a28e54a","robot",1,NA,NA,NA
"10/20/22 10:10","10/20/22 10:13",0,100,155,1,"10/20/22 10:13","R_ZfuVVxiusEgTQe5",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,2,3,"Health and wellness store",3,"5fe1a1bd46872ebde23c2493","robot",NA,1,NA,NA
"10/20/22 10:13","10/20/22 10:14",0,100,60,1,"10/20/22 10:14","R_27VylDCpbjSxUVE",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,9,9,"Wellness Store",NA,"62bc91177343712ea900ba34","person",NA,NA,1,1
"10/20/22 10:15","10/20/22 10:16",0,100,83,1,"10/20/22 10:16","R_YStQfAD5Zfj2ltD",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,1,3,"a health-and-wellness store",NA,"5f0fb2ffd614290441198a24","person",NA,NA,1,1
"10/20/22 10:18","10/20/22 10:20",0,100,115,1,"10/20/22 10:20","R_2VsZDOQfdCMMwOY",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,6,4,"health and wellness store",8,"632e1cd39d0f30f22338c11a","robot",NA,1,NA,NA
"10/20/22 10:20","10/20/22 10:21",0,100,51,1,"10/20/22 10:21","R_2qEEgmY9HJaYCQQ",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,3,2,"Public Health",5,"6276d892a859c0c33a1e011c","robot",1,NA,NA,NA
"10/20/22 10:25","10/20/22 10:26",0,100,73,1,"10/20/22 10:26","R_2wTUZFvUdlok1Cc",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,9,8,"health and wellness",9,"5d158f6419d2ed0001e2120c","robot",1,NA,NA,NA
"10/20/22 10:25","10/20/22 10:27",0,100,128,1,"10/20/22 10:27","R_3qVx7Ron0YImwr4",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,3,5,"Health and Wellness store",5,"5dc42d6bc59f472f5e3004e0","robot",1,NA,NA,NA
"10/20/22 10:26","10/20/22 10:27",0,100,23,1,"10/20/22 10:27","R_7O0Fw7g7zMXIHpT",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,7,8,"Health store",NA,"60b0fde34c1106fd3143eb34","person",NA,NA,1,1
